,pos,last_pos,peak,num_weeks,album,artist,entry_date,entry_pos,peak_pos,week,in
918,119,792,4,4,Bloom,TROYE SIVAN,2018-09-15,4,4,20181006,918
919,120,812,31,68,1989,TAYLOR SWIFT,2017-07-01,31,31,20181006,919
920,121,700,121,1,Greater Than,GATEWAY,2018-10-06,121,103,20181006,920
921,122,700,122,1,The Click,AJR,2018-10-06,122,122,20181006,921
922,123,817,27,201,"good kid, m.A.A.d city",KENDRICK LAMAR,2014-12-13,181,27,20181006,922
923,124,788,3,11,Mamma Mia!: Here We Go Again OST,VARIOUS ARTISTS,2018-07-28,20,3,20181006,923
924,125,825,1,26,My Dear Melancholy EP,THE WEEKND,2018-04-14,1,1,20181006,924
925,126,807,4,31,DAY69,6IX9INE,2018-03-10,4,4,20181006,925
926,127,811,4,18,Testing,A$AP ROCKY,2018-06-09,4,4,20181006,926
927,128,819,45,105,California Sunrise,JON PARDI,2016-10-15,184,45,20181006,927
928,129,821,1,69,hopeless fountain kingdom,HALSEY,2017-06-24,1,1,20181006,928
929,130,815,27,64,Dua Lipa,DUA LIPA,2017-07-29,162,27,20181006,929
930,131,816,6,21,SR3MM,RAE SREMMURD & SWAE LEE & SLIM JXMMI,2018-05-19,6,6,20181006,930
931,132,834,11,9,Trolls OST,VARIOUS ARTISTS,2018-08-11,11,11,20181006,931
932,133,827,76,39,Greatest Hits So Far...,ZAC BROWN BAND,2018-01-13,184,76,20181006,932
933,134,832,8,157,TRAPSOUL,BRYSON TILLER,2015-10-17,11,8,20181006,933
934,135,820,60,16,Their Greatest Hits 1971-1975,EAGLES,2018-06-23,196,60,20181006,934
935,136,814,98,28,Icon: Greatest Hits,BOB SEGER & THE SILVER BULLET BAND,2018-03-31,150,98,20181006,935
936,137,831,28,15,Revenge,XXXTENTACION,2018-06-30,30,28,20181006,936
937,138,700,138,1,TA1300,DENZEL CURRY,2018-10-06,138,138,20181006,937
938,139,846,72,39,Greatest Hits,THE NOTORIOUS B.I.G.,2018-01-13,175,72,20181006,938
939,140,839,1,87,Culture,MIGOS,2017-02-18,1,1,20181006,939
940,141,837,17,24,Too Hard,LIL BABY,2018-04-28,17,17,20181006,940
941,142,818,82,10,All Time Greatest Hits,LYNYRD SKYNYRD,2018-08-04,135,82,20181006,941
942,143,845,11,87,Metallica,METALLICA,2017-02-18,11,11,20181006,942
943,144,836,53,6,Onepointfive,AMINE,2018-09-01,53,53,20181006,943
944,145,828,123,4,Greatest Hits,GUNS N'ROSES,2018-09-15,123,123,20181006,944
945,146,824,37,28,"Love, Simon OST",VARIOUS ARTISTS,2018-03-31,37,37,20181006,945
946,147,760,9,23,The Thrill Of It All,SAM SMITH,2018-05-05,9,9,20181006,946
947,148,840,92,40,Doo-Wops & Hooligans,BRUNO MARS,2018-01-06,166,92,20181006,947
948,149,700,149,1,Tha Carter III,LIL WAYNE,2018-10-06,149,94,20181006,948
949,150,838,3,205,Montevallo,SAM HUNT,2014-11-15,3,3,20181006,949
950,151,829,29,43,A Decade Of Destruction,FIVE FINGER DEATH PUNCH,2017-12-23,29,29,20181006,950
951,152,822,122,4,Recovery,EMINEM,2018-09-15,145,122,20181006,951
952,153,896,153,3,How Can It Be,LAUREN DAIGLE,2018-09-22,170,136,20181006,952
953,154,843,4,48,Without Warning,"21 SAVAGE, OFFSET & METRO BOOMIN",2017-11-18,4,4,20181006,953
954,155,823,2,9,Songs For The Saints,KENNY CHESNEY,2018-08-11,2,2,20181006,954
955,156,866,156,10,21,ADELE,2018-08-04,162,150,20181006,955
956,157,841,7,73,There's Really A Wolf,RUSS,2017-05-27,7,7,20181006,956
957,158,849,2,73,From A Room: Volume 1,CHRIS STAPLETON,2017-05-27,2,2,20181006,957
958,159,833,1,42,What Makes You Country,LUKE BRYAN,2017-12-30,1,1,20181006,958
959,160,700,160,1,'Til I'm Gone,FRANK FOSTER,2018-10-06,160,160,20181006,959
960,161,700,161,1,Tha Carter IV,LIL WAYNE,2018-10-06,161,102,20181006,960
961,162,860,46,46,Illuminate,SHAWN MENDES,2017-12-02,84,46,20181006,961
962,163,848,26,9,Queen Naija EP,QUEEN NAIJA,2018-08-11,26,26,20181006,962
963,164,850,122,20,Back In Black,AC/DC,2018-05-26,149,122,20181006,963
964,165,857,141,5,Greatest Hits,RED HOT CHILI PEPPERS,2018-09-08,141,141,20181006,964
965,166,826,3,12,Beastmode 2,FUTURE,2018-07-21,3,3,20181006,965
966,167,855,1,141,Death Of A Bachelor,PANIC! AT THE DISCO,2016-02-06,1,1,20181006,966
967,168,862,1,149,25,ADELE,2015-12-12,1,1,20181006,967
968,169,854,3,52,Tell Me You Love Me,DEMI LOVATO,2017-10-21,3,3,20181006,968
969,170,852,31,22,Speak Your Mind,ANNE-MARIE,2018-05-12,31,31,20181006,969
970,171,876,1,29,Bobby Tarantino II,LOGIC,2018-03-24,1,1,20181006,970
971,172,858,95,40,Dig Your Roots,FLORIDA GEORGIA LINE,2018-01-06,156,95,20181006,971
972,173,868,152,12,Blonde,FRANK OCEAN,2018-07-21,183,152,20181006,972
973,174,700,174,1,Life After Fame,QUANDO RONDO,2018-10-06,174,138,20181006,973
974,175,804,4,19,And Justice For None,FIVE FINGER DEATH PUNCH,2018-06-02,4,4,20181006,974
975,176,874,133,8,Hozier,HOZIER,2018-08-18,195,133,20181006,975
976,177,851,38,41,1,THE BEATLES,2018-01-03,175,38,20181006,976
977,178,861,28,21,Simi,BLOCBOY JB,2018-05-19,28,28,20181006,977
978,179,856,110,40,Happy Endings,OLD DOMINION,2018-01-06,199,110,20181006,978
979,180,865,165,2,Mothership,LED ZEPPELIN,2018-09-29,165,165,20181006,979
980,181,877,177,7,The Life Of Pablo,KANYE WEST,2018-08-25,187,175,20181006,980
981,182,872,139,14,Hot Rocks 1964-1971,THE ROLLING STONES,2018-07-07,196,139,20181006,981
982,183,871,111,23,Dangerous Woman,ARIANA GRANDE,2018-05-05,146,111,20181006,982
983,184,880,42,11,Real Hasta La Muerte,ANUEL AA,2018-07-28,51,42,20181006,983
984,185,875,109,39,Tangled Up,THOMAS RHETT,2018-01-13,154,109,20181006,984
985,186,859,13,15,Redemption,JAY ROCK,2018-06-30,13,13,20181006,985
986,187,700,187,1,Vibras,J BALVIN,2018-10-06,187,187,20181006,986
987,188,853,153,13,Greatest Hits: Decade #1,CARRIE UNDERWOOD,2018-07-14,181,153,20181006,987
988,189,891,175,4,From The Fires,GRETA VAN FLEET,2018-09-15,175,175,20181006,988
989,190,870,72,5,Florida Georgia Line EP,FLORIDA GEORGIA LINE,2018-09-08,72,72,20181006,989
990,191,886,5,53,Trip,JHENE AIKO,2017-10-14,5,5,20181006,990
991,192,879,120,30,Reloaded: 20 #1 Hits,BLAKE SHELTON,2018-03-17,150,120,20181006,991
992,193,770,70,2,The Mountain,DIERKS BENTLEY,2018-09-29,70,70,20181006,992
993,194,878,143,11,Abbey Road,THE BEATLES,2018-07-28,155,143,20181006,993
994,195,887,180,12,I Am... Sasha Fierce,BEYONCE,2018-07-21,195,180,20181006,994
995,196,898,183,3,4275,JACQUEES,2018-09-22,183,183,20181006,995
996,197,830,9,4,8 Letters,WHY DON'T WE,2018-09-15,9,9,20181006,996
997,198,890,88,39,If You're Reading This It's Too Late,DRAKE,2018-01-13,144,88,20181006,997
998,199,700,199,1,Come Over When You're Sober EP,LIL PEEP,2018-10-06,199,199,20181006,998
999,200,888,1,77,Memories... Do Not Open,THE CHAINSMOKERS,2017-04-29,1,1,20181006,999
1000,1,900,1,1,Cry Pretty,CARRIE UNDERWOOD,2018-09-29,1,1,20180929,1000
1001,2,902,1,3,Kamikaze,EMINEM,2018-09-15,1,1,20180929,1001
1002,3,900,3,1,East Atlanta Love Letter,6LACK,2018-09-29,3,3,20180929,1002
1003,4,905,1,12,Scorpion,DRAKE,2018-07-14,1,1,20180929,1003
1004,5,907,1,7,Astroworld,TRAVIS SCOTT,2018-08-18,1,1,20180929,1004
1005,6,908,1,21,beerbongs & bentleys,POST MALONE,2018-05-12,1,1,20180929,1005
1006,7,910,1,5,Sweetener,ARIANA GRANDE,2018-09-01,1,1,20180929,1006
1007,8,901,1,2,Egypt Station,PAUL McCARTNEY,2018-09-22,1,1,20180929,1007
1008,9,911,2,6,Queen,NICKI MINAJ,2018-08-25,2,2,20180929,1008
1009,10,912,4,18,Goodbye & Good Riddance,JUICE WRLD,2018-06-02,15,4,20180929,1009
1010,11,900,11,1,Love Is Here To Stay,TONY BENNETT & DIANA KRALL,2018-09-29,11,11,20180929,1010
1011,12,906,3,7,Swimming,MAC MILLER,2018-08-18,3,3,20180929,1011
1012,13,913,1,27,?,XXXTENTACION,2018-03-31,1,1,20180929,1012
1013,14,900,14,1,4Respect 4Freedom 4Loyalty 4Whatimportant,YOUNGBOY NEVER BROKE AGAIN,2018-09-29,14,14,20180929,1013
1014,15,914,1,24,Invasion Of Privacy,CARDI B,2018-04-21,1,1,20180929,1014
1015,16,903,3,2,Look Up Child,LAUREN DAIGLE,2018-09-22,3,3,20180929,1015
1016,17,917,1,41,The Greatest Showman OST,VARIOUS ARTISTS,2017-12-30,71,1,20180929,1016
1017,18,918,4,68,This One's For You,LUKE COMBS,2017-06-24,5,4,20180929,1017
1018,19,915,1,4,Love Yourself: Answer,BTS,2018-09-08,1,1,20180929,1018
1019,20,919,1,81,Divide,ED SHEERAN,2017-03-25,1,1,20180929,1019
1020,21,922,3,18,Harder Than Ever,LIL BABY,2018-06-02,3,3,20180929,1020
1021,22,953,1,23,Rearview Town,JASON ALDEAN,2018-04-28,1,1,20180929,1021
1022,23,925,4,93,Stoney,POST MALONE,2016-12-31,6,4,20180929,1022
1023,24,923,7,4,Aura,OZUNA,2018-09-08,7,7,20180929,1023
1024,25,924,4,6,Life's A Trip,TRIPPIE REDD,2018-08-25,4,4,20180929,1024
1025,26,920,2,56,17,XXXTENTACION,2017-09-16,2,2,20180929,1025
1026,27,900,27,1,Palms,THRICE,2018-09-29,27,27,20180929,1026
1027,28,928,2,65,Evolve,IMAGINE DRAGONS,2017-07-15,2,2,20180929,1027
1028,29,931,1,45,Reputation,TAYLOR SWIFT,2017-12-02,1,1,20180929,1028
1029,30,927,2,46,Red Pill Blues,MAROON 5,2017-11-25,2,2,20180929,1029
1030,31,929,1,34,Culture II,MIGOS,2018-02-10,1,1,20180929,1030
1031,32,930,3,156,Hamilton: An American Musical,ORIGINAL BROADWAY CAST RECORDING,2015-10-17,12,3,20180929,1031
1032,33,904,4,2,Zoo,RUSS,2018-09-22,4,4,20180929,1032
1033,34,934,4,81,American Teen,KHALID,2017-03-25,9,4,20180929,1033
1034,35,900,35,1,Hiding Place,TORI KELLY,2018-09-29,35,35,20180929,1034
1035,36,900,36,1,My Way,WILLIE NELSON,2018-09-29,36,36,20180929,1035
1036,37,900,37,1,7,DAVID GUETTA,2018-09-29,37,37,20180929,1036
1037,38,957,13,13,Expectations,BEBE REXHA,2018-07-07,13,13,20180929,1037
1038,39,933,1,13,Pray For The Wicked,PANIC! AT THE DISCO,2018-07-07,1,1,20180929,1038
1039,40,937,14,24,Cosmic,BAZZI,2018-04-21,35,14,20180929,1039
1040,41,935,1,75,DAMN.,KENDRICK LAMAR,2017-05-06,1,1,20180929,1040
1041,42,921,21,2,YBN: The Mixtape,"YBN NAHMIR, YBN ALMIGHTY JAY & YBN CORDAE",2018-09-22,21,21,20180929,1041
1042,43,947,1,56,Luv Is Rage 2,LIL UZI VERT,2017-09-16,1,1,20180929,1042
1043,44,939,5,7,Stay Dangerous,YG,2018-08-18,5,5,20180929,1043
1044,45,940,5,94,Kane Brown,KANE BROWN,2016-12-24,10,5,20180929,1044
1045,46,942,1,14,Youngblood,5 SECONDS OF SUMMER,2018-06-30,1,1,20180929,1045
1046,47,941,31,17,The Essential Michael Jackson,MICHAEL JACKSON,2018-06-09,51,31,20180929,1046
1047,48,946,6,13,Dan + Shay,DAN + SHAY,2018-07-07,6,6,20180929,1047
1048,49,955,35,92,Curtain Call: The Hits,EMINEM,2017-01-07,177,35,20180929,1048
1049,50,938,7,21,Until Death Call My Name,YOUNGBOY NEVER BROKE AGAIN,2018-05-12,7,7,20180929,1049
1050,51,936,1,22,KOD,J. COLE,2018-05-05,1,1,20180929,1050
1051,52,948,1,151,Traveller,CHRIS STAPLETON,2015-11-21,1,1,20180929,1051
1052,53,962,1,36,Camila,CAMILA CABELLO,2018-01-27,1,1,20180929,1052
1053,54,952,38,26,Greatest Hits,QUEEN,2018-04-07,86,38,20180929,1053
1054,55,954,38,38,Don't Smile At Me,BILLIE EILISH,2018-01-13,167,38,20180929,1054
1055,56,958,1,50,Perception,NF,2017-10-28,1,1,20180929,1055
1056,57,951,2,10,Rolling Papers 2,WIZ KHALIFA,2018-07-28,2,2,20180929,1056
1057,58,961,3,67,Ctrl,SZA,2017-07-01,3,3,20180929,1057
1058,59,964,10,37,Life Of A Dark Rose,LIL SKIES,2018-01-20,23,10,20180929,1058
1059,60,1018,9,22,The Thrill Of It All,SAM SMITH,2018-05-05,9,9,20180929,1059
1060,61,963,3,73,Views,DRAKE,2017-05-20,6,3,20180929,1060
1061,62,965,47,48,H.E.R.,H.E.R.,2017-11-11,108,47,20180929,1061
1062,63,974,42,196,Take Care,DRAKE,2015-01-10,194,42,20180929,1062
1063,64,969,2,14,EVERYTHING IS LOVE,THE CARTERS,2018-06-30,2,2,20180929,1063
1064,65,973,2,96,Moana OST,VARIOUS ARTISTS,2016-12-10,16,2,20180929,1064
1065,66,909,9,2,I Want To Die In New Orleans,$UICIDEBOY$,2018-09-22,9,9,20180929,1065
1066,67,966,1,32,"Black Panther: The Album, Music From And Inspired By OST",VARIOUS ARTISTS,2018-02-24,1,1,20180929,1066
1067,68,975,64,4,More Life,DRAKE,2018-09-08,64,64,20180929,1067
1068,69,900,69,1,Dark Skies,FIT FOR A KING,2018-09-29,69,69,20180929,1068
1069,70,900,70,1,The Mountain,DIERKS BENTLEY,2018-09-29,70,70,20180929,1069
1070,71,978,18,84,Brett Young,BRETT YOUNG,2017-03-04,18,18,20180929,1070
1071,72,982,1,222,X,ED SHEERAN,2014-07-12,1,1,20180929,1071
1072,73,977,1,54,Life Changes,THOMAS RHETT,2017-09-30,1,1,20180929,1072
1073,74,983,2,96,24K Magic,BRUNO MARS,2016-12-10,2,2,20180929,1073
1074,75,981,1,95,Starboy,THE WEEKND,2016-12-17,1,1,20180929,1074
1075,76,986,23,45,Diamonds,ELTON JOHN,2017-12-02,23,23,20180929,1075
1076,77,945,1,17,Shawn Mendes,SHAWN MENDES,2018-06-09,1,1,20180929,1076
1077,78,972,1,16,ye,KANYE WEST,2018-06-16,1,1,20180929,1077
1078,79,984,3,47,Heartbreak On A Full Moon,CHRIS BROWN,2017-11-18,3,3,20180929,1078
1079,80,989,53,91,Night Visions,IMAGINE DRAGONS,2017-01-14,167,53,20180929,1079
1080,81,985,5,245,Legend: The Best Of Bob Marley And The Wailers,BOB MARLEY AND THE WAILERS,2014-02-01,117,5,20180929,1080
1081,82,968,8,5,Young Stoner Life: Slime Language,VARIOUS ARTISTS,2018-09-01,8,8,20180929,1081
1082,83,990,7,5,All Of It,COLE SWINDELL,2018-09-01,7,7,20180929,1082
1083,84,987,22,56,Odisea,OZUNA,2017-09-16,22,22,20180929,1083
1084,85,998,85,4,Greatest Hits,2PAC,2018-09-08,95,85,20180929,1084
1085,86,991,68,42,Journey's Greatest Hits,JOURNEY,2017-12-23,199,68,20180929,1085
1086,87,992,69,48,Rumours,FLEETWOOD MAC,2017-11-11,178,69,20180929,1086
1087,88,967,3,10,Mamma Mia!: Here We Go Again OST,VARIOUS ARTISTS,2018-07-28,20,3,20180929,1087
1088,89,993,55,33,Drip Season 3,GUNNA,2018-02-17,55,55,20180929,1088
1089,90,1000,2,57,Project Baby Two,KODAK BLACK,2017-09-09,2,2,20180929,1089
1090,91,1001,15,40,Chronicle The 20 Greatest Hits,CREEDENCE CLEARWATER REVIVAL,2018-01-03,15,15,20180929,1090
1091,92,944,4,3,Bloom,TROYE SIVAN,2018-09-15,4,4,20180929,1091
1092,93,994,4,19,Voicenotes,CHARLIE PUTH,2018-05-26,4,4,20180929,1092
1093,94,1004,3,19,Die Lit,PLAYBOI CARTI,2018-05-26,3,3,20180929,1093
1094,95,999,2,25,The World Is Yours,RICH THE KID,2018-04-14,2,2,20180929,1094
1095,96,995,5,87,2014 Forest Hills Drive,J. COLE,2017-02-11,5,5,20180929,1095
1096,97,1013,2,51,Greatest Hits,TOM PETTY AND THE HEARTBREAKERS,2017-10-21,2,2,20180929,1096
1097,98,1010,1,160,Beauty Behind The Madness,THE WEEKND,2015-09-19,1,1,20180929,1097
1098,99,1002,26,18,"13 Reasons Why, Season 2 OST",VARIOUS ARTISTS,2018-06-02,34,26,20180929,1098
1099,100,1007,1,107,Birds In The Trap Sing McKnight,TRAVIS SCOTT,2016-09-24,1,1,20180929,1099
1100,101,1017,74,38,Freudian,DANIEL CAESAR,2018-01-13,122,74,20180929,1100
1101,102,1011,1,175,Blurryface,TWENTY ONE PILOTS,2015-06-06,1,1,20180929,1101
1102,103,900,103,1,Free Lunch EP,WALE,2018-09-29,103,103,20180929,1102
1103,104,1076,4,18,And Justice For None,FIVE FINGER DEATH PUNCH,2018-06-02,4,4,20180929,1103
1104,105,1023,1,139,ANTI,RIHANNA,2016-02-13,27,1,20180929,1104
1105,106,1008,2,223,In The Lonely Hour,SAM SMITH,2014-07-05,2,2,20180929,1105
1106,107,1003,4,30,DAY69,6IX9INE,2018-03-10,4,4,20180929,1106
1107,108,1009,29,21,Ready EP,ELLA MAI,2018-05-12,87,29,20180929,1107
1108,109,1016,3,40,The Beautiful & Damned,G-EAZY,2018-01-03,3,3,20180929,1108
1109,110,1012,50,16,I met you when I was 18. (the playlist),LAUV,2018-06-16,50,50,20180929,1109
1110,111,1015,4,17,Testing,A$AP ROCKY,2018-06-09,4,4,20180929,1110
1111,112,1025,31,67,1989,TAYLOR SWIFT,2017-07-01,31,31,20180929,1111
1112,113,900,113,1,Collapse EP,APHEX TWIN,2018-09-29,113,113,20180929,1112
1113,114,1031,98,27,Icon: Greatest Hits,BOB SEGER & THE SILVER BULLET BAND,2018-03-31,150,98,20180929,1113
1114,115,1020,27,63,Dua Lipa,DUA LIPA,2017-07-29,162,27,20180929,1114
1115,116,1024,6,20,SR3MM,RAE SREMMURD & SWAE LEE & SLIM JXMMI,2018-05-19,6,6,20180929,1115
1116,117,1030,27,200,"good kid, m.A.A.d city",KENDRICK LAMAR,2014-12-13,181,27,20180929,1116
1117,118,1036,82,9,All Time Greatest Hits,LYNYRD SKYNYRD,2018-08-04,135,82,20180929,1117
1118,119,1026,45,104,California Sunrise,JON PARDI,2016-10-15,184,45,20180929,1118
1119,120,1014,60,15,Their Greatest Hits 1971-1975,EAGLES,2018-06-23,196,60,20180929,1119
1120,121,1029,1,68,hopeless fountain kingdom,HALSEY,2017-06-24,1,1,20180929,1120
1121,122,1055,122,3,Recovery,EMINEM,2018-09-15,145,122,20180929,1121
1122,123,1019,2,8,Songs For The Saints,KENNY CHESNEY,2018-08-11,2,2,20180929,1122
1123,124,1028,37,27,"Love, Simon OST",VARIOUS ARTISTS,2018-03-31,37,37,20180929,1123
1124,125,1022,1,25,My Dear Melancholy EP,THE WEEKND,2018-04-14,1,1,20180929,1124
1125,126,1021,3,11,Beastmode 2,FUTURE,2018-07-21,3,3,20180929,1125
1126,127,1040,76,38,Greatest Hits So Far...,ZAC BROWN BAND,2018-01-13,184,76,20180929,1126
1127,128,1049,123,3,Greatest Hits,GUNS N'ROSES,2018-09-15,123,123,20180929,1127
1128,129,1041,29,42,A Decade Of Destruction,FIVE FINGER DEATH PUNCH,2017-12-23,29,29,20180929,1128
1129,130,979,9,3,8 Letters,WHY DON'T WE,2018-09-15,9,9,20180929,1129
1130,131,1038,28,14,Revenge,XXXTENTACION,2018-06-30,30,28,20180929,1130
1131,132,1052,8,156,TRAPSOUL,BRYSON TILLER,2015-10-17,11,8,20180929,1131
1132,133,1034,1,41,What Makes You Country,LUKE BRYAN,2017-12-30,1,1,20180929,1132
1133,134,1035,11,8,Trolls OST,VARIOUS ARTISTS,2018-08-11,11,11,20180929,1133
1134,135,1039,90,38,Nothing Was The Same,DRAKE,2018-01-13,128,90,20180929,1134
1135,136,1057,53,5,Onepointfive,AMINE,2018-09-01,53,53,20180929,1135
1136,137,1059,17,23,Too Hard,LIL BABY,2018-04-28,17,17,20180929,1136
1137,138,1042,3,204,Montevallo,SAM HUNT,2014-11-15,3,3,20180929,1137
1138,139,1044,1,86,Culture,MIGOS,2017-02-18,1,1,20180929,1138
1139,140,1046,92,39,Doo-Wops & Hooligans,BRUNO MARS,2018-01-06,166,92,20180929,1139
1140,141,1032,7,72,There's Really A Wolf,RUSS,2017-05-27,7,7,20180929,1140
1141,142,932,32,2,GO:OD AM,MAC MILLER,2018-09-22,32,32,20180929,1141
1142,143,1050,4,47,Without Warning,"21 SAVAGE, OFFSET & METRO BOOMIN",2017-11-18,4,4,20180929,1142
1143,144,900,144,1,The Very Best Of The Eagles,EAGLES,2018-09-29,144,144,20180929,1143
1144,145,1037,11,86,Metallica,METALLICA,2017-02-18,11,11,20180929,1144
1145,146,1048,72,38,Greatest Hits,THE NOTORIOUS B.I.G.,2018-01-13,175,72,20180929,1145
1146,147,926,26,2,Best Day Ever,MAC MILLER,2018-09-22,26,26,20180929,1146
1147,148,1043,26,8,Queen Naija EP,QUEEN NAIJA,2018-08-11,26,26,20180929,1147
1148,149,1053,2,72,From A Room: Volume 1,CHRIS STAPLETON,2017-05-27,2,2,20180929,1148
1149,150,1060,122,19,Back In Black,AC/DC,2018-05-26,149,122,20180929,1149
1150,151,1061,38,40,1,THE BEATLES,2018-01-03,175,38,20180929,1150
1151,152,996,31,21,Speak Your Mind,ANNE-MARIE,2018-05-12,31,31,20180929,1151
1152,153,1092,153,12,Greatest Hits: Decade #1,CARRIE UNDERWOOD,2018-07-14,181,153,20180929,1152
1153,154,1051,3,51,Tell Me You Love Me,DEMI LOVATO,2017-10-21,3,3,20180929,1153
1154,155,1065,1,140,Death Of A Bachelor,PANIC! AT THE DISCO,2016-02-06,1,1,20180929,1154
1155,156,1068,110,39,Happy Endings,OLD DOMINION,2018-01-06,199,110,20180929,1155
1156,157,1064,141,4,Greatest Hits,RED HOT CHILI PEPPERS,2018-09-08,141,141,20180929,1156
1157,158,1074,95,39,Dig Your Roots,FLORIDA GEORGIA LINE,2018-01-06,156,95,20180929,1157
1158,159,1054,13,14,Redemption,JAY ROCK,2018-06-30,13,13,20180929,1158
1159,160,1062,46,45,Illuminate,SHAWN MENDES,2017-12-02,84,46,20180929,1159
1160,161,1072,28,20,Simi,BLOCBOY JB,2018-05-19,28,28,20180929,1160
1161,162,1071,1,148,25,ADELE,2015-12-12,1,1,20180929,1161
1162,163,900,163,1,Sick Boy EP,THE CHAINSMOKERS,2018-09-29,163,63,20180929,1162
1163,164,900,164,1,Generation Rx,GOOD CHARLOTTE,2018-09-29,164,164,20180929,1163
1164,165,900,165,1,Mothership,LED ZEPPELIN,2018-09-29,165,165,20180929,1164
1165,166,1078,162,9,21,ADELE,2018-08-04,162,150,20180929,1165
1166,167,1058,86,3,Revival,EMINEM,2018-09-15,86,86,20180929,1166
1167,168,1066,152,11,Blonde,FRANK OCEAN,2018-07-21,183,152,20180929,1167
1168,169,1047,25,12,Gold - Greatest Hits,ABBA,2018-07-14,170,25,20180929,1168
1169,170,1063,72,4,Florida Georgia Line EP,FLORIDA GEORGIA LINE,2018-09-08,72,72,20180929,1169
1170,171,1056,111,22,Dangerous Woman,ARIANA GRANDE,2018-05-05,146,111,20180929,1170
1171,172,1079,139,13,Hot Rocks 1964-1971,THE ROLLING STONES,2018-07-07,196,139,20180929,1171
1172,173,950,50,2,The Divine Feminine,MAC MILLER,2018-09-22,50,50,20180929,1172
1173,174,1033,133,7,Hozier,HOZIER,2018-08-18,195,133,20180929,1173
1174,175,1081,109,38,Tangled Up,THOMAS RHETT,2018-01-13,154,109,20180929,1174
1175,176,1069,1,28,Bobby Tarantino II,LOGIC,2018-03-24,1,1,20180929,1175
1176,177,1082,177,6,The Life Of Pablo,KANYE WEST,2018-08-25,187,175,20180929,1176
1177,178,1077,143,10,Abbey Road,THE BEATLES,2018-07-28,155,143,20180929,1177
1178,179,1087,120,29,Reloaded: 20 #1 Hits,BLAKE SHELTON,2018-03-17,150,120,20180929,1178
1179,180,1075,42,10,Real Hasta La Muerte,ANUEL AA,2018-07-28,51,42,20180929,1179
1180,181,900,181,1,Free 6lack,6LACK,2018-09-29,181,181,20180929,1180
1181,182,900,182,1,The Eminem Show,EMINEM,2018-09-29,182,182,20180929,1181
1182,183,1005,105,2,"The Very Best Of Aretha Franklin, The 60's",ARETHA FRANKLIN,2018-09-22,105,105,20180929,1182
1183,184,1086,8,18,Reckless,NAV,2018-06-02,8,8,20180929,1183
1184,185,1088,177,9,Ultimate Sinatra,FRANK SINATRA,2018-08-04,190,177,20180929,1184
1185,186,1089,5,52,Trip,JHENE AIKO,2017-10-14,5,5,20180929,1185
1186,187,1100,180,11,I Am... Sasha Fierce,BEYONCE,2018-07-21,195,180,20180929,1186
1187,188,1098,1,76,Memories... Do Not Open,THE CHAINSMOKERS,2017-04-29,1,1,20180929,1187
1188,189,900,189,1,Born To Die,LANA DEL REY,2018-09-29,189,189,20180929,1188
1189,190,1099,88,38,If You're Reading This It's Too Late,DRAKE,2018-01-13,144,88,20180929,1189
1190,191,1090,175,3,From The Fires,GRETA VAN FLEET,2018-09-15,175,175,20180929,1190
1191,192,900,192,1,Purpose,JUSTIN BIEBER,2018-09-29,192,192,20180929,1191
1192,193,1085,134,17,[Hybrid Theory],LINKIN PARK,2018-06-09,185,134,20180929,1192
1193,194,1097,92,27,Greatest Hits: The Ultimate Collection,BON JOVI,2018-03-31,171,92,20180929,1193
1194,195,1091,8,123,Coloring Book,CHANCE THE RAPPER,2016-06-04,8,8,20180929,1194
1195,196,1070,170,2,How Can It Be,LAUREN DAIGLE,2018-09-22,170,136,20180929,1195
1196,197,900,197,1,The Marshall Mathers LP 2,EMINEM,2018-09-29,197,197,20180929,1196
1197,198,1083,183,2,4275,JACQUEES,2018-09-22,183,183,20180929,1197
1198,199,916,16,2,Book Of Bad Decisions,CLUTCH,2018-09-22,16,16,20180929,1198
1199,200,1084,145,9,Flower Boy,"TYLER, THE CREATOR",2018-08-04,175,145,20180929,1199
1200,1,1100,1,1,Egypt Station,PAUL McCARTNEY,2018-09-22,1,1,20180922,1200
1201,2,1101,1,2,Kamikaze,EMINEM,2018-09-15,1,1,20180922,1201
1202,3,1100,3,1,Look Up Child,LAUREN DAIGLE,2018-09-22,3,3,20180922,1202
1203,4,1100,4,1,Zoo,RUSS,2018-09-22,4,4,20180922,1203
1204,5,1103,1,11,Scorpion,DRAKE,2018-07-14,1,1,20180922,1204
1205,6,1171,3,6,Swimming,MAC MILLER,2018-08-18,3,3,20180922,1205
1206,7,1102,1,6,Astroworld,TRAVIS SCOTT,2018-08-18,1,1,20180922,1206
1207,8,1106,1,20,beerbongs & bentleys,POST MALONE,2018-05-12,1,1,20180922,1207
1208,9,1100,9,1,I Want To Die In New Orleans,$UICIDEBOY$,2018-09-22,9,9,20180922,1208
1209,10,1105,1,4,Sweetener,ARIANA GRANDE,2018-09-01,1,1,20180922,1209
1210,11,1107,2,5,Queen,NICKI MINAJ,2018-08-25,2,2,20180922,1210
1211,12,1110,4,17,Goodbye & Good Riddance,JUICE WRLD,2018-06-02,15,4,20180922,1211
1212,13,1111,1,26,?,XXXTENTACION,2018-03-31,1,1,20180922,1212
1213,14,1112,1,23,Invasion Of Privacy,CARDI B,2018-04-21,1,1,20180922,1213
